Suburb,Type,Rooms,Bathrooms,Parking,Area,Price
Walmer,House,4,2,8,170,10719274
Zwide,Warehouse,4,1,2,750,11682880
Missionvale,Warehouse,4,4,12,190,6831851
Summerstrand,Officeblock,6,4,12,810,13703449
Central,Warehouse,6,3,4,520,801494
Zwide,Flat,3,2,4,200,13781386
Summerstrand,Warehouse,3,0,4,310,5580729
Central,Officeblock,8,4,6,890,664475
Summerstrand,House,4,2,6,790,1819847
Summerstrand,Warehouse,5,2,6,770,9231781
Central,Officeblock,4,0,6,420,4972749
Missionvale,Flat,3,0,4,310,8195204
Summerstrand,House,6,1,2,770,7099751
Walmer,Warehouse,8,2,8,750,1465688
Humewood,Warehouse,8,0,0,890,9147088
Humewood,House,5,0,6,370,6470426
Zwide,Officeblock,1,0,0,190,3160830
Central,Warehouse,3,4,1,520,11767288
Walmer,Officeblock,7,4,12,190,7271115
Zwide,Flat,1,2,6,310,5867639
Zwide,Officeblock,2,0,0,750,3459695
Missionvale,Officeblock,1,0,4,370,6654895
Central,House,4,1,6,190,8296794
Summerstrand,Flat,1,0,12,770,5442607
Missionvale,House,8,2,0,790,1263839
Zwide,Warehouse,3,3,1,890,1711897
Humewood,Flat,7,0,2,400,13594596
Humewood,House,2,4,2,520,12834381
Humewood,House,3,0,8,150,13594596
Central,Warehouse,5,2,0,790,5036322
Walmer,Warehouse,7,0,4,420,11705020
Zwide,Flat,8,3,2,750,5036322
Walmer,Warehouse,4,0,1,400,4437316
Walmer,House,4,3,2,770,1948696
Central,Flat,7,2,0,580,3304544
Central,Officeblock,6,1,1,310,13890411
Central,House,7,4,4,520,906
Zwide,House,7,1,1,810,10238838
Zwide,House,2,2,8,370,10221553
Missionvale,Officeblock,3,3,4,420,13950390
Summerstrand,Officeblock,2,2,6,310,9182002
Walmer,Warehouse,1,0,2,810,9672810
Humewood,House,5,4,6,890,5630106
Zwide,Flat,1,1,0,170,9817109
Walmer,Flat,1,0,6,400,626708
Central,House,2,2,6,310,1848307
Central,Warehouse,4,3,1,200,6470426
Summerstrand,Warehouse,5,0,6,790,14463202
Central,Warehouse,5,1,4,770,4637063
Humewood,Warehouse,8,1,12,370,12546053
Zwide,House,8,4,1,520,12758034
Summerstrand,Flat,5,1,2,580,4542049
Humewood,House,5,0,6,520,14810144
Missionvale,Warehouse,5,3,8,370,2428323
Zwide,Warehouse,3,1,12,790,12697108
Zwide,Officeblock,6,3,6,770,9901375
Walmer,Flat,4,3,2,790,5721363
Walmer,House,1,2,4,580,1890935
Humewood,Warehouse,7,4,1,190,12224966
Central,Flat,6,4,2,170,1890935
Humewood,Warehouse,5,1,4,750,13164946
Central,Flat,8,2,1,310,12848666
Zwide,Officeblock,1,2,2,170,4540369
Summerstrand,Flat,6,2,1,750,14714182
Summerstrand,Flat,1,4,12,810,4540369
Missionvale,Warehouse,5,1,0,420,3534567
Summerstrand,House,2,3,1,370,12170082
Walmer,Officeblock,7,3,0,310,4961378
Summerstrand,Officeblock,7,3,4,150,2428323
Missionvale,Officeblock,8,1,2,580,3754287
Walmer,Officeblock,2,4,4,750,7641560
Summerstrand,Officeblock,1,4,4,190,14209030
Zwide,House,2,4,2,400,10000969
Walmer,Officeblock,7,3,12,420,9623586
Walmer,Warehouse,5,3,8,580,12153519
Central,Warehouse,3,1,0,400,13829438
Humewood,House,7,0,2,790,13149660
Humewood,House,3,1,0,150,11759020
Humewood,Warehouse,6,0,12,170,9141967
Zwide,Officeblock,8,2,0,170,10918301
Humewood,House,3,4,4,400,8258583
Missionvale,Flat,1,0,2,890,4696024
Summerstrand,Flat,8,0,4,520,8975659
Humewood,Warehouse,2,1,1,580,4510711
Summerstrand,Officeblock,7,1,12,150,10683028
Central,Warehouse,5,4,1,190,6106382
Zwide,Flat,7,0,2,200,11767288
Summerstrand,Flat,5,0,12,200,4108109
Walmer,Warehouse,7,3,0,190,1309816
Central,Warehouse,7,1,8,190,10753340
Humewood,House,3,2,4,580,12054127
Missionvale,House,3,0,1,580,9322790
Walmer,Warehouse,8,0,0,150,1165882
Zwide,House,1,4,6,370,5386074
Central,Officeblock,8,0,1,310,5281168
Summerstrand,Flat,4,3,6,310,7511028
Missionvale,Flat,7,4,4,190,558503
Missionvale,Officeblock,3,1,12,170,4542049
Central,Warehouse,2,0,4,580,276220
Summerstrand,Flat,4,1,6,420,5721363
Humewood,House,8,2,2,890,9723807
Humewood,Flat,5,2,1,770,955730
Humewood,Officeblock,7,0,4,580,12660007
Zwide,Warehouse,4,1,12,520,6465192
Summerstrand,House,8,3,6,370,5052010
Summerstrand,Flat,6,0,4,370,12208778
Summerstrand,Flat,2,0,4,520,5895760
Central,Warehouse,4,1,4,420,1948696
Humewood,Officeblock,1,3,12,520,12153519
Humewood,Officeblock,4,1,2,810,409303
