
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 1, *, *, 420, 6861186.59375, 32
*, *, 1, *, *, 580, 7593341.714285715, 35
*, *, 1, *, *, 520, 6547059.371428572, 35
*, *, 1, *, *, 200, 6789608.0, 43
*, *, 1, *, *, 170, 8090435.607142857, 28
*, *, 1, *, *, 810, 6118469.090909091, 33
*, *, 1, *, *, 750, 7367780.358974359, 39
*, *, 1, *, *, 400, 7156947.129032258, 31
*, *, 1, *, *, 370, 6788982.372093023, 43
*, *, 1, *, *, 310, 6803164.523809524, 42
*, *, 1, *, *, 790, 6528770.352941177, 34
*, *, 1, *, *, 150, 6657194.1, 40
*, *, 1, *, *, 890, 7289343.069767442, 43
*, *, 1, *, *, 190, 5941913.4878048785, 41
*, *, 2, *, *, 770, 7680211.416666667, 48
*, *, 2, *, *, 420, 5670369.2, 35
*, *, 2, *, *, 580, 6874994.8, 30
*, *, 2, *, *, 520, 7882154.461538462, 26
*, *, 2, *, *, 200, 8412228.727272727, 33
*, *, 2, *, *, 170, 7871117.085106383, 47
*, *, 2, *, *, 810, 6696793.891891892, 37
*, *, 2, *, *, 750, 8143102.590909091, 44
*, *, 2, *, *, 400, 8126277.791666667, 24
*, *, 2, *, *, 370, 7409350.306122449, 49
*, *, 2, *, *, 310, 7753437.260869565, 46
*, *, 2, *, *, 790, 7489778.604651162, 43
*, *, 2, *, *, 150, 6417589.371428572, 35
*, *, 2, *, *, 890, 8268358.333333333, 36
*, *, 2, *, *, 190, 9431406.42857143, 28
*, *, 3, *, *, 770, 8316710.25, 40
*, *, 3, *, *, 420, 7371954.46875, 32
*, *, 3, *, *, 580, 8857735.255813954, 43
*, *, 3, *, *, 520, 6214023.611111111, 36
*, *, 3, *, *, 200, 7183247.285714285, 42
*, *, 3, *, *, 170, 7623591.102564103, 39
*, *, 3, *, *, 810, 6479785.833333333, 36
*, *, 3, *, *, 750, 8954234.804347826, 46
*, *, 3, *, *, 400, 7191420.828571429, 35
*, *, 3, *, *, 370, 7057912.315789473, 38
*, *, 3, *, *, 310, 8946272.24390244, 41
*, *, 3, *, *, 790, 6639300.7105263155, 38
*, *, 3, *, *, 150, 8527922.108108109, 37
*, *, 3, *, *, 890, 6363034.128205128, 39
*, *, 3, *, *, 190, 7915541.880952381, 42
*, *, 4, *, *, 770, 7640310.793103448, 29
*, *, 4, *, *, 420, 7690888.125, 40
*, *, 4, *, *, 580, 7464339.567567567, 37
