
*, *, *, 0, 0, *, 7904264.598591549, 142
*, *, *, 0, 1, *, 6906710.5703125, 128
*, *, *, 0, 2, *, 6938416.233082707, 133
*, *, *, 0, 4, *, 7459216.52027027, 148
*, *, *, 0, 6, *, 7507534.832116788, 137
*, *, *, 0, 8, *, 8220888.172661871, 139
*, *, *, 0, 12, *, 7113976.169642857, 112
*, *, *, 1, 0, *, 7537217.854838709, 124
*, *, *, 1, 1, *, 7301522.815789473, 114
*, *, *, 1, 2, *, 7796939.015748031, 127
*, *, *, 1, 4, *, 6589164.358490566, 106
*, *, *, 1, 6, *, 7534119.246478873, 142
*, *, *, 1, 8, *, 7008999.113333333, 150
*, *, *, 1, 12, *, 7668667.341085271, 129
*, *, *, 2, 0, *, 7739470.083333333, 132
*, *, *, 2, 1, *, 7377400.571428572, 147
*, *, *, 2, 2, *, 6995938.903508772, 114
*, *, *, 2, 4, *, 7678318.124087592, 137
*, *, *, 2, 6, *, 7316024.246031746, 126
*, *, *, 2, 8, *, 7890372.658536585, 123
*, *, *, 2, 12, *, 7729634.6465517245, 116
*, *, *, 3, 0, *, 7794993.645833333, 144
*, *, *, 3, 1, *, 7316244.192857143, 140
*, *, *, 3, 2, *, 7176651.992, 125
*, *, *, 3, 4, *, 6959956.866141732, 127
*, *, *, 3, 6, *, 6738701.633802817, 142
*, *, *, 3, 8, *, 7678094.016129033, 124
*, *, *, 3, 12, *, 7246106.16, 125
*, *, *, 4, 0, *, 7204249.018867925, 106
*, *, *, 4, 1, *, 7535417.3697478995, 119
*, *, *, 4, 2, *, 7819649.145985401, 137
*, *, *, 4, 4, *, 6883341.664179104, 134
*, *, *, 4, 6, *, 7249665.104838709, 124
*, *, *, 4, 8, *, 8270594.299319728, 147
*, *, *, 4, 12, *, 7169195.593984962, 133
Greater than threshold 35
*, *, *, 0, 0, *, 7904264.598591549, 142
*, *, *, 0, 1, *, 6906710.5703125, 128
*, *, *, 0, 2, *, 6938416.233082707, 133
*, *, *, 0, 4, *, 7459216.52027027, 148
*, *, *, 0, 6, *, 7507534.832116788, 137
*, *, *, 0, 8, *, 8220888.172661871, 139
*, *, *, 0, 12, *, 7113976.169642857, 112
*, *, *, 1, 0, *, 7537217.854838709, 124
*, *, *, 1, 1, *, 7301522.815789473, 114
*, *, *, 1, 2, *, 7796939.015748031, 127
*, *, *, 1, 4, *, 6589164.358490566, 106
*, *, *, 1, 6, *, 7534119.246478873, 142
*, *, *, 1, 8, *, 7008999.113333333, 150
*, *, *, 1, 12, *, 7668667.341085271, 129
*, *, *, 2, 0, *, 7739470.083333333, 132
*, *, *, 2, 1, *, 7377400.571428572, 147
*, *, *, 2, 2, *, 6995938.903508772, 114
*, *, *, 2, 4, *, 7678318.124087592, 137
*, *, *, 2, 6, *, 7316024.246031746, 126
*, *, *, 2, 8, *, 7890372.658536585, 123
*, *, *, 2, 12, *, 7729634.6465517245, 116
*, *, *, 3, 0, *, 7794993.645833333, 144
*, *, *, 3, 1, *, 7316244.192857143, 140
*, *, *, 3, 2, *, 7176651.992, 125
*, *, *, 3, 4, *, 6959956.866141732, 127
*, *, *, 3, 6, *, 6738701.633802817, 142
*, *, *, 3, 8, *, 7678094.016129033, 124
*, *, *, 3, 12, *, 7246106.16, 125
*, *, *, 4, 0, *, 7204249.018867925, 106
*, *, *, 4, 1, *, 7535417.3697478995, 119
*, *, *, 4, 2, *, 7819649.145985401, 137
*, *, *, 4, 4, *, 6883341.664179104, 134
*, *, *, 4, 6, *, 7249665.104838709, 124
*, *, *, 4, 8, *, 8270594.299319728, 147
*, *, *, 4, 12, *, 7169195.593984962, 133
Greater than threshold 35
*, *, *, 0, 0, *, 7904264.598591549, 142
*, *, *, 0, 1, *, 6906710.5703125, 128
*, *, *, 0, 2, *, 6938416.233082707, 133
