
Zwide, Officeblock, *, *, *, *, 770, 9797259.42857143, 7
Zwide, Officeblock, *, *, *, *, 420, 5411525.090909091, 11
Zwide, Officeblock, *, *, *, *, 580, 9059964.9, 10
Zwide, Officeblock, *, *, *, *, 520, 6294816.375, 16
Zwide, Officeblock, *, *, *, *, 200, 8648281.23076923, 13
Zwide, Officeblock, *, *, *, *, 170, 7765063.333333333, 12
Zwide, Officeblock, *, *, *, *, 810, 1.0671562375E7, 8
Zwide, Officeblock, *, *, *, *, 750, 7489800.0, 10
Zwide, Officeblock, *, *, *, *, 370, 7220118.2727272725, 11
Zwide, Officeblock, *, *, *, *, 310, 8051061.625, 8
Zwide, Officeblock, *, *, *, *, 790, 8588322.166666666, 12
Zwide, Officeblock, *, *, *, *, 150, 8366431.846153846, 13
Zwide, Officeblock, *, *, *, *, 890, 7038063.052631579, 19
Zwide, Officeblock, *, *, *, *, 190, 5517765.875, 8
Zwide, Warehouse, *, *, *, *, 770, 8748108.76923077, 13
Zwide, Warehouse, *, *, *, *, 420, 6734687.75, 8
Zwide, Warehouse, *, *, *, *, 580, 8251619.333333333, 15
Zwide, Warehouse, *, *, *, *, 520, 7889047.315789473, 19
Zwide, Warehouse, *, *, *, *, 200, 9310035.384615384, 13
Zwide, Warehouse, *, *, *, *, 170, 5670345.105263158, 19
Zwide, Warehouse, *, *, *, *, 810, 5749309.333333333, 12
Zwide, Warehouse, *, *, *, *, 750, 9647786.92857143, 14
Zwide, Warehouse, *, *, *, *, 400, 6571840.181818182, 11
Zwide, Warehouse, *, *, *, *, 370, 8480154.714285715, 14
Zwide, Warehouse, *, *, *, *, 310, 7562625.6875, 16
Zwide, Warehouse, *, *, *, *, 790, 7772762.307692308, 13
Zwide, Warehouse, *, *, *, *, 150, 5954850.0, 10
Zwide, Warehouse, *, *, *, *, 890, 8184199.181818182, 11
Zwide, Warehouse, *, *, *, *, 190, 7780695.5, 8
Zwide, Flat, *, *, *, *, 770, 6840602.538461538, 13
Zwide, Flat, *, *, *, *, 420, 1.0090730555555556E7, 9
Zwide, Flat, *, *, *, *, 580, 7588929.785714285, 14
Zwide, Flat, *, *, *, *, 520, 9740087.111111112, 9
Zwide, Flat, *, *, *, *, 200, 7269093.0, 18
Zwide, Flat, *, *, *, *, 170, 6454759.588235294, 17
Zwide, Flat, *, *, *, *, 810, 6951989.666666667, 12
Zwide, Flat, *, *, *, *, 750, 8658058.818181818, 11
