suburb,type,# room,# baths,# parking,area,Avg Price,Count
Walmer, Flat, *, *, *,140,358085.9091,11
Walmer, Flat, *, *, *,170,596403.5455,11
Walmer, Flat, *, *, *,180,528811.8,10
Walmer, Flat, *, *, *,190,555815.3333,12
Walmer, Flat, *, *, *,200,588761.7,10
Walmer, Flat, *, *, *,210,665240.9231,13
Walmer, Flat, *, *, *,90,243021.5,10
Walmer, Flat, *, *, *,220,665438.0769,13
Walmer, Flat, *, *, *,120,303594.1667,12
Walmer, House, *, *, *,150,435186.4545,11
Walmer, House, *, *, *,180,545832.9091,11
Walmer, House, *, *, *,60,183504.7,10
Walmer, House, *, *, *,220,711679.2727,11
Walmer, House, *, *, *,110,328405.9231,13
Walmer, House, *, *, *,120,374286.6667,12

Humewood, Flat, *, *, *, *, 130, 294101.0, 8
Humewood, Flat, *, *, *, *, 140, 338195.5, 6
Humewood, Flat, *, *, *, *, 270, 763062.8333333334, 6
Humewood, Flat, *, *, *, *, 160, 378036.14285714284, 7
Humewood, Flat, *, *, *, *, 190, 494669.1666666667, 6
Humewood, Flat, *, *, *, *, 220, 560466.2857142857, 7
Humewood, House, *, *, *, *, 140, 362381.44444444444, 9
Humewood, House, *, *, *, *, 240, 837377.5555555555, 9
Walmer, Flat, *, *, *, *, 130, 332396.28571428574, 7
Walmer, Flat, *, *, *, *, 260, 904684.7777777778, 9
Walmer, Flat, *, *, *, *, 140, 358085.9090909091, 11
Walmer, Flat, *, *, *, *, 150, 416165.6666666667, 6
Walmer, Flat, *, *, *, *, 280, 856835.0, 9
Walmer, Flat, *, *, *, *, 290, 871295.5, 8
Walmer, Flat, *, *, *, *, 170, 596403.5454545454, 11
Walmer, Flat, *, *, *, *, 300, 1014450.3333333334, 6
Walmer, Flat, *, *, *, *, 180, 528811.8, 10
Walmer, Flat, *, *, *, *, 190, 555815.3333333334, 12
Walmer, Flat, *, *, *, *, 70, 189985.33333333334, 6
Walmer, Flat, *, *, *, *, 200, 588761.7, 10
Walmer, Flat, *, *, *, *, 210, 665240.9230769231, 13
Walmer, Flat, *, *, *, *, 90, 243021.5, 10
Walmer, Flat, *, *, *, *, 220, 665438.0769230769, 13
Walmer, Flat, *, *, *, *, 100, 256245.11111111112, 9
Walmer, Flat, *, *, *, *, 230, 655284.75, 8
Walmer, Flat, *, *, *, *, 110, 298801.0, 8
Walmer, Flat, *, *, *, *, 240, 900201.5, 6
Walmer, Flat, *, *, *, *, 120, 303594.1666666667, 12
Walmer, House, *, *, *, *, 130, 384747.5, 6
Walmer, House, *, *, *, *, 150, 435186.45454545453, 11
Walmer, House, *, *, *, *, 280, 1062581.25, 8
Walmer, House, *, *, *, *, 160, 444122.1666666667, 6
Walmer, House, *, *, *, *, 170, 513537.3333333333, 6
Walmer, House, *, *, *, *, 300, 1141971.5555555555, 9
Walmer, House, *, *, *, *, 180, 545832.9090909091, 11
Walmer, House, *, *, *, *, 60, 183504.7, 10
Walmer, House, *, *, *, *, 210, 664268.875, 8
Walmer, House, *, *, *, *, 90, 259290.33333333334, 6
Walmer, House, *, *, *, *, 220, 711679.2727272727, 11
Walmer, House, *, *, *, *, 100, 283057.28571428574, 7
Walmer, House, *, *, *, *, 230, 768477.75, 8
Walmer, House, *, *, *, *, 110, 328405.92307692306, 13
Walmer, House, *, *, *, *, 370, 1304558.8333333333, 6
Walmer, House, *, *, *, *, 120, 374286.6666666667, 12
Walmer, House, *, *, *, *, 250, 780388.8333333334, 6
Summerstrand, Flat, *, *, *, *, 260, 984961.3333333334, 6
Summerstrand, Flat, *, *, *, *, 150, 423010.8333333333, 6
Summerstrand, Flat, *, *, *, *, 160, 460448.0, 7
Summerstrand, Flat, *, *, *, *, 210, 601569.5714285715, 7
Summerstrand, Flat, *, *, *, *, 220, 698150.0, 7
Summerstrand, House, *, *, *, *, 130, 390689.5, 6
Summerstrand, House, *, *, *, *, 260, 915229.3333333334, 6
Summerstrand, House, *, *, *, *, 120, 358184.0, 6
Greater than threshold 53
